Disease::DOID:0050156	idiopathic pulmonary fibrosis	特发性肺纤维化
Disease::MESH:D015787	Erythema Chronicum Migrans	慢性移行性红斑
Disease::MESH:D015792	Retinal Dysplasia	视网膜发育不良
Disease::MESH:D015794	Choroideremia	脉络膜瘤
Disease::MESH:D015799	Gyrate Atrophy	Gyrate萎缩
Disease::MESH:D015812	Glaucoma, Angle-Closure	青光眼，闭角
Disease::MESH:D015814	Ocular Hypotension	眼部低血压
Disease::MESH:D015817	Eye Infections	眼部感染
Disease::MESH:D015818	Eye Infections, Bacterial	眼部感染，细菌性
Disease::MESH:D015819	Substance Abuse, Intravenous	药物滥用，静脉注射
Disease::MESH:D015821	Eye Infections, Fungal	眼部感染，真菌
Disease::MESH:D015823	Acanthamoeba Keratitis	棘阿米巴角膜炎
Disease::MESH:D015826	Langer-Giedion Syndrome	Langer-Giedion综合征
Disease::MESH:D015827	Onchocerciasis, Ocular	眼囊尾蚴病
Disease::MESH:D015828	Eye Infections, Viral	眼部感染，病毒性
Disease::MESH:D015831	Osteochondroma	骨软骨瘤
Disease::MESH:D015834	Cochlear Diseases	耳蜗疾病
Disease::MESH:D015835	Ocular Motility Disorders	眼球运动障碍
Disease::MESH:D015837	Vestibular Diseases	前庭疾病
Disease::MESH:D015840	Oculomotor Nerve Diseases	眼球运动神经疾病
Disease::MESH:D015858	Anisometropia	不等性斜视
Disease::MESH:D015861	Retinal Neovascularization	视网膜新生血管化
Disease::MESH:D015862	Choroid Diseases	脉络膜疾病
Disease::MESH:D015863	Iridocyclitis	虹膜环炎
Disease::MESH:D015864	Panuveitis	泛葡萄膜炎
Disease::MESH:D015866	Uveitis, Posterior	葡萄膜炎，后部
Disease::MESH:D015867	Uveitis, Intermediate	葡萄膜炎，中级
Disease::MESH:D015868	Pars Planitis	帕尔斯扁平炎
Disease::MESH:D015877	Miosis	Miosis公司
Disease::MESH:D015878	Mydriasis	真菌病
Disease::MESH:D015882	Retinal Necrosis Syndrome, Acute	视网膜坏死综合征，急性
Disease::MESH:D016055	Urinary Retention	尿潴留
Disease::MESH:D016063	Blood Loss, Surgical	失血，外科
Disease::MESH:D016066	Pleural Effusion, Malignant	胸腔积液，恶性
Disease::MESH:D016084	Bronchoconstriction	支气管收缩
Disease::MESH:D016098	Gerstmann-Straussler-Scheinker Disease	Gerstmann-Straussler-Scheinker病
Disease::MESH:D016104	Oligohydramnios	羊水过少
Disease::MESH:D016107	Epidermolysis Bullosa Acquisita	大疱性表皮松解症
Disease::MESH:D016108	Epidermolysis Bullosa Dystrophica	营养不良大疱性表皮松解症
Disease::MESH:D016109	Epidermolysis Bullosa, Junctional	大疱性表皮松解，交界
Disease::MESH:D016111	Sjogren-Larsson Syndrome	干燥-拉尔森综合征
Disease::MESH:D016112	Ichthyosis Vulgaris	寻常性鱼鳞病
Disease::MESH:D016113	Ichthyosiform Erythroderma, Congenital	鱼鳞状红皮病，先天性
Disease::MESH:D016114	Ichthyosis, X-Linked	鱼鳞病，X-连锁
Disease::MESH:D016115	Albinism, Oculocutaneous	白化病，眼部皮肤
Disease::MESH:D016116	Piebaldism	皮博尔德主义
Disease::MESH:D016135	Spinal Dysraphism	脊柱闭合不全
Disease::MESH:D016136	Spina Bifida Occulta	隐棘双足
Disease::MESH:D016137	Spina Bifida Cystica	囊性脊柱双裂
Disease::MESH:D016142	Holoprosencephaly	全裂头畸形
Disease::MESH:D016170	Accelerated Idioventricular Rhythm	加速单心室节律
Disease::MESH:D016171	Torsades de Pointes	角撑（Torsades de Pointes）
Disease::MESH:D016183	Murine Acquired Immunodeficiency Syndrome	小鼠获得性免疫缺陷综合征
Disease::MESH:D016262	Postpoliomyelitis Syndrome	脊髓灰质炎后综合征
Disease::MESH:D016269	Milk Hypersensitivity	牛奶过敏
Disease::MESH:D016301	Alveolar Bone Loss	牙槽骨质丢失
Disease::MESH:D016369	Smear Layer	涂抹层（Smear Layer）
Disease::MESH:D016388	Tooth Loss	牙齿缺失
Disease::MESH:D016393	Lymphoma, B-Cell	淋巴瘤，B细胞
Disease::MESH:D016399	Lymphoma, T-Cell	淋巴瘤，T细胞
Disease::MESH:D016403	Lymphoma, Large B-Cell, Diffuse	淋巴瘤，大B细胞，弥漫性
Disease::MESH:D016410	Lymphoma, T-Cell, Cutaneous	淋巴瘤，T细胞，皮肤
Disease::MESH:D016411	Lymphoma, T-Cell, Peripheral	淋巴瘤，T细胞，外周
Disease::MESH:D016460	Granuloma Annulare	环形肉芽肿
Disease::MESH:D016463	Sweet Syndrome	Sweet综合征
Disease::MESH:D016464	Lysosomal Storage Diseases	溶酶体储存疾病
Disease::MESH:D016469	Fungemia	真菌血症
Disease::MESH:D016470	Bacteremia	菌血症
Disease::MESH:D016471	Ovarian Hyperstimulation Syndrome	卵巢过度刺激综合征
Disease::MESH:D016472	Motor Neuron Disease	运动神经元疾病
Disease::MESH:D016481	Helicobacter Infections	螺杆菌感染
Disease::MESH:D016483	Lymphoma, AIDS-Related	淋巴瘤，艾滋病相关
Disease::MESH:D016489	Head Injuries, Closed	头部受伤，闭合
Disease::MESH:D016491	Peripheral Vascular Diseases	周围血管疾病
Disease::MESH:D016506	Pemphigus, Benign Familial	天疱疮，良性家族性
Disease::MESH:D016510	Corneal Neovascularization	角膜新生血管化
Disease::MESH:D016511	Severe Combined Immunodeficiency	严重联合免疫缺陷
Disease::MESH:D016512	Ankle Injuries	踝损伤
Disease::MESH:D016518	Neurofibromatosis 2	神经纤维瘤病2型
Disease::MESH:D016532	Mucopolysaccharidosis II	粘多糖病II
Disease::MESH:D016534	Cardiac Output, High	心输出量，高
Disease::MESH:D016535	Bronchial Hyperreactivity	支气管高反应性
Disease::MESH:D016537	Gangliosidosis, GM1	神经节苷脂病，GM1
Disease::MESH:D016538	Mucopolysaccharidosis VII	粘多糖病VII
Disease::MESH:D016543	Central Nervous System Neoplasms	中枢神经系统肿瘤
Disease::MESH:D016545	Choroid Plexus Neoplasms	脉络丛肿瘤
Disease::MESH:D016553	Purpura, Thrombocytopenic, Idiopathic	紫癜，血小板减少性，特发性
Disease::MESH:D016569	Blepharophimosis	睑裂症
Disease::MESH:D016574	Seasonal Affective Disorder	季节性情感障碍
Disease::MESH:D016575	Hidradenitis	Hidradenitis公司
Disease::MESH:D016582	Leukemia, Feline	白血病，猫
Disease::MESH:D016583	Enzootic Bovine Leukosis	动物性牛白血病
Disease::MESH:D016584	Panic Disorder	惊恐障碍
Disease::MESH:D016585	Vaginosis, Bacterial	阴道病，细菌性
Disease::MESH:D016586	Granular Cell Tumor	颗粒细胞瘤
Disease::MESH:D016602	Needlestick Injuries	针刺伤
Disease::MESH:D016603	Eosinophilia-Myalgia Syndrome	嗜酸性粒细胞肌痛综合征
Disease::MESH:D016606	Thyroid Nodule	甲状腺结节
Disease::MESH:D016609	Neoplasms, Second Primary	肿瘤，第二原发性
Disease::MESH:D016638	Critical Illness	严重疾病
Disease::MESH:D016640	Diabetes, Gestational	糖尿病，妊娠期
Disease::MESH:D016643	Encephalopathy, Bovine Spongiform	脑病，牛海绵状
Disease::MESH:D016649	Primary Ovarian Insufficiency	原发性卵巢功能不足
Disease::MESH:D016657	Cerebral Amyloid Angiopathy	大脑淀粉样血管病
Disease::MESH:D016659	Psoas Abscess	银屑病脓肿
Disease::MESH:D016697	Herpes Zoster Oticus	耳带状疱疹
Disease::MESH:D016706	Still's Disease, Adult-Onset	斯蒂尔病，成人发病
Disease::MESH:D016711	Yang Deficiency	阳虚
Disease::MESH:D016715	Proteus Syndrome	变形综合征
Disease::MESH:D016720	Pneumocystis Infections	肺孢子虫感染
Disease::MESH:D016724	Empyema, Pleural	脓胸，胸膜
Disease::MESH:D016727	Orbital Pseudotumor	眼眶假性肿瘤
Disease::MESH:D016728	Self-Injurious Behavior	自我伤害行为
Disease::MESH:D016731	Erythema Infectiosum	感染性红斑
Disease::MESH:D016736	Antiphospholipid Syndrome	抗磷脂综合征
Disease::MESH:D016738	Alagille Syndrome	Alagille综合征
Disease::MESH:D016750	Stiff-Person Syndrome	僵人综合征
Disease::MESH:D016751	Hepatitis E	戊型肝炎
Disease::MESH:D016757	Death, Sudden, Cardiac	心脏猝死
Disease::MESH:D016773	Leishmaniasis, Cutaneous	利什曼病，皮肤
Disease::MESH:D016774	Leishmaniasis, Diffuse Cutaneous	利什曼病，弥漫性皮肤
Disease::MESH:D016776	Blastocystis Infections	芽囊原虫感染
Disease::MESH:D016778	Malaria, Falciparum	疟疾，恶性
Disease::MESH:D016779	Malaria, Cerebral	疟疾，脑
Disease::MESH:D016780	Malaria, Vivax	疟疾，Vivax
Disease::MESH:D016781	Toxoplasmosis, Cerebral	弓形虫病，脑
Disease::MESH:D016849	Keratitis, Herpetic	角膜炎，疱疹
Disease::MESH:D016857	Hypocapnia	低碳酸血症
Disease::MESH:D016862	Tuberculoma, Intracranial	结核瘤，颅内
Disease::MESH:D016864	Li-Fraumeni Syndrome	Li Frauemeni综合征
Disease::MESH:D016868	Serratia Infections	沙雷氏菌感染
Disease::MESH:D016869	Ureaplasma Infections	脲原体属感染
Disease::MESH:D016873	Ehrlichiosis	埃立克体病
Disease::MESH:D016878	POEMS Syndrome	POEMS综合征
Disease::MESH:D016881	Microsporidiosis	微孢子虫病
Disease::MESH:D016883	Diabetic Ketoacidosis	糖尿病酮症酸中毒
Disease::MESH:D016884	Polyendocrinopathies, Autoimmune	多内分泌疾病，自身免疫
Disease::MESH:D016888	Angiodysplasia	血管发育不良
Disease::MESH:D016889	Endometrial Neoplasms	子宫内膜肿瘤
Disease::MESH:D016890	Encephalitozoonosis	脑炎
Disease::MESH:D016891	Polycystic Kidney, Autosomal Dominant	多囊肾，常染色体显性
Disease::MESH:D016893	Carotid Stenosis	颈动脉狭窄
Disease::MESH:D016905	Gram-Negative Bacterial Infections	革兰氏阴性菌感染
Disease::MESH:D016908	Gram-Positive Bacterial Infections	革兰氏阳性细菌感染
Disease::MESH:D016917	Angiomatosis, Bacillary	血管瘤病，细菌性
Disease::MESH:D016919	Meningitis, Cryptococcal	脑膜炎，隐球菌性
Disease::MESH:D016920	Meningitis, Bacterial	脑膜炎，细菌性
Disease::MESH:D016921	Meningitis, Fungal	脑膜炎，真菌
Disease::MESH:D017001	Tooth Demineralization	牙失矿质
Disease::MESH:D017029	Epilepsy, Complex Partial	癫痫，复杂部分
Disease::MESH:D017034	Epilepsy, Frontal Lobe	癫痫，额叶
Disease::MESH:D017036	Epilepsia Partialis Continua	连续性侧叶癫痫
Disease::MESH:D017043	Chalazion	Chalazion公司
Disease::MESH:D017044	Polycystic Kidney, Autosomal Recessive	多囊肾，常染色体隐性
Disease::MESH:D017074	Common Variable Immunodeficiency	常见可变免疫缺陷
Disease::MESH:D017085	alpha-Thalassemia	α地中海贫血
Disease::MESH:D017086	beta-Thalassemia	β地中海贫血
Disease::MESH:D017088	AIDS-Related Opportunistic Infections	艾滋病相关机会性感染
Disease::MESH:D017092	Porphyria, Erythropoietic	卟啉，促红细胞生成性
Disease::MESH:D017093	Liver Failure	肝衰竭
Disease::MESH:D017094	Porphyrias, Hepatic	紫菜，肝
Disease::MESH:D017096	Prion Diseases	朊病毒疾病
Disease::MESH:D017098	IgA Deficiency	IgA缺乏
Disease::MESH:D017099	IgG Deficiency	IgG缺乏
Disease::MESH:D017109	Akathisia, Drug-Induced	药物诱导性贫血
Disease::MESH:D017114	Liver Failure, Acute	肝衰竭，急性
Disease::MESH:D017116	Low Back Pain	下背痛
Disease::MESH:D017118	Porphyria, Acute Intermittent	紫菜，急性间歇性
Disease::MESH:D017119	Porphyria Cutanea Tarda	Tarda皮肤紫菜
Disease::MESH:D017129	Anisakiasis	不平等
Disease::MESH:D017169	Neoplasms, Post-Traumatic	肿瘤，创伤后
Disease::MESH:D017180	Tachycardia, Ventricular	心动过速，心室
Disease::MESH:D017189	Enoplida Infections	Enoplida感染
Disease::MESH:D017192	Skin Diseases, Bacterial	皮肤病，细菌性
Disease::MESH:D017202	Myocardial Ischemia	心肌缺血
Disease::MESH:D017204	Angelman Syndrome	安吉曼综合征
Disease::MESH:D017219	Gastric Outlet Obstruction	胃出口梗阻
Disease::MESH:D017229	Enterobiasis	肠杆菌病
Disease::MESH:D017237	Mitochondrial Encephalomyopathies	线粒体脑肌病
Disease::MESH:D017240	Mitochondrial Myopathies	线粒体肌病
Disease::MESH:D017241	MELAS Syndrome	MELAS综合征
Disease::MESH:D017246	Ophthalmoplegia, Chronic Progressive External	眼肌麻痹，慢性进行性外部
Disease::MESH:D017253	Neurofibromatoses	神经纤维瘤病
Disease::MESH:D017254	Leukemic Infiltration	白血病浸润
Disease::MESH:D017282	Tick-Borne Diseases	传播的疾病
Disease::MESH:D017285	Polymyositis	多发性肌炎
Disease::MESH:D017359	HELLP Syndrome	HELLP综合征
Disease::MESH:D017379	Hypertrophy, Left Ventricular	肥厚，左心室
Disease::MESH:D017380	Hypertrophy, Right Ventricular	肥厚，右心室
Disease::MESH:D017436	Kallmann Syndrome	综合征
Disease::MESH:D017439	Cicatrix, Hypertrophic	瘢痕，肥大
Disease::MESH:D017444	Skin Diseases, Papulosquamous	皮肤病，丘疹性
Disease::MESH:D017449	Dermatitis, Allergic Contact	皮炎，过敏性接触
Disease::MESH:D017453	Dermatitis, Irritant	皮炎，刺激性
Disease::MESH:D017454	Dermatitis, Photoallergic	皮炎，光过敏
Disease::MESH:D017484	Dermatitis, Phototoxic	皮炎，光毒性
Disease::MESH:D017486	Acneiform Eruptions	痤疮样皮疹
Disease::MESH:D017488	Hyperkeratosis, Epidermolytic	角化过度，表皮溶解性
Disease::MESH:D017490	Ichthyosis, Lamellar	鱼鳞病，片状
Disease::MESH:D017492	Keratosis, Seborrheic	角化病，脂溢性
Disease::MESH:D017495	Hyperpigmentation	色素沉着过多
Disease::MESH:D017496	Hypopigmentation	色素沉着不足
Disease::MESH:D017497	Hidradenitis Suppurativa	化脓性痢疾
Disease::MESH:D017499	Porokeratosis	多孔体病
Disease::MESH:D017511	Pyoderma Gangrenosum	Gangrenosum脓皮病
Disease::MESH:D017512	Lichenoid Eruptions	地衣样喷发
Disease::MESH:D017514	Pityriasis Lichenoides	地衣糠疹
Disease::MESH:D017515	Pityriasis Rosea	玫瑰糠疹
Disease::MESH:D017520	Mucinoses	粘液类
Disease::MESH:D017541	Aneurysm, False	动脉瘤，假
Disease::MESH:D017542	Aneurysm, Ruptured	动脉瘤，破裂
Disease::MESH:D017543	Iliac Aneurysm	髂动脉瘤
Disease::MESH:D017544	Aortic Aneurysm, Abdominal	主动脉瘤，腹部
Disease::MESH:D017545	Aortic Aneurysm, Thoracic	主动脉瘤，胸部
Disease::MESH:D017563	Lung Diseases, Interstitial	肺部疾病，间质性
Disease::MESH:D017564	Radiation Pneumonitis	放射性肺炎
Disease::MESH:D017565	Sarcoidosis, Pulmonary	结节病，肺
Disease::MESH:D017566	Microvascular Angina	微血管性心绞痛
Disease::MESH:D017573	Focal Epithelial Hyperplasia	局灶性上皮增生
Disease::MESH:D017588	Hyperandrogenism	雄激素过多症
Disease::MESH:D017590	Myelinolysis, Central Pontine	髓鞘溶解，中央桥
Disease::MESH:D017593	Kleine-Levin Syndrome	Kleine-Levin综合征
Disease::MESH:D017599	Neuroectodermal Tumors	神经外胚层肿瘤
Disease::MESH:D017622	Periodontal Attachment Loss	牙周附着丢失
Disease::MESH:D017674	Hypophosphatemia	低磷血症
Disease::MESH:D017676	Lichen Planus, Oral	扁平苔藓，口腔
Disease::MESH:D017681	Hypereosinophilic Syndrome	嗜酸性粒细胞增多综合征
Disease::MESH:D017682	Myocardial Stunning	心肌梗塞
Disease::MESH:D017689	Polydactyly	多指
Disease::MESH:D017695	Soft Tissue Injuries	软组织损伤
Disease::MESH:D017699	Pelvic Pain	骨盆疼痛
Disease::MESH:D017700	Embolism, Cholesterol	栓塞，胆固醇
Disease::MESH:D017714	Community-Acquired Infections	社区获得性感染
Disease::MESH:D017719	Diabetic Foot	糖尿病足
Disease::MESH:D017726	Cytomegalovirus Retinitis	视网膜炎
Disease::MESH:D017728	Lymphoma, Large-Cell, Anaplastic	淋巴瘤，大细胞，间变性
Disease::MESH:D017731	Lymphomatoid Papulosis	淋巴瘤样丘疹病
Disease::MESH:D017733	Leukoplakia, Hairy	白斑, 毛状
Disease::MESH:D017769	Ulnar Nerve Compression Syndromes	尺神经压迫综合征
Disease::MESH:D017772	Amyloid Neuropathies	淀粉样神经病
Disease::MESH:D017789	Granuloma, Pyogenic	肉芽肿，化脓性
Disease::MESH:D017823	Furcation Defects	分叉缺陷
Disease::MESH:D017824	Bone Cysts, Aneurysmal	骨囊肿，动脉瘤
Disease::MESH:D017825	Canavan Disease	Canavan病
Disease::MESH:D017827	Machado-Joseph Disease	Machado Joseph病
Disease::MESH:D017880	Limb Deformities, Congenital	四肢畸形，先天性
Disease::MESH:D017887	Ossification of Posterior Longitudinal Ligament	后纵韧带骨化
Disease::MESH:D017889	Exfoliation Syndrome	剥脱综合征
Disease::MESH:D018058	Tympanic Membrane Perforation	鼓膜穿孔
Disease::MESH:D018088	Tuberculosis, Multidrug-Resistant	结核病，耐多种药物
Disease::MESH:D018139	Simplexvirus	单纯疱疹病毒
Disease::MESH:D018149	Glucose Intolerance	葡萄糖耐量
Disease::MESH:D018159	Endolymphatic Hydrops	内淋巴积水
Disease::MESH:D018177	Flavivirus Infections	黄病毒感染
Disease::MESH:D018184	Paramyxoviridae Infections	副粘病毒科感染
Disease::MESH:D018190	Lymphatic Vessel Tumors	淋巴管肿瘤
Disease::MESH:D018191	Lymphangioma, Cystic	淋巴管瘤，囊性
Disease::MESH:D018192	Lymphangioleiomyomatosis	淋巴管平滑肌瘤病
Disease::MESH:D018195	Adenosarcoma	腺肉瘤
Disease::MESH:D018196	Carcinoma, Adenosquamous	癌，腺鳞癌
Disease::MESH:D018197	Hepatoblastoma	肝母细胞瘤
Disease::MESH:D018198	Mixed Tumor, Malignant	混合肿瘤，恶性
Disease::MESH:D018201	Nephroma, Mesoblastic	肾瘤，中胚层
Disease::MESH:D018202	Pulmonary Blastoma	肺母细胞瘤
Disease::MESH:D018203	Sarcoma, Endometrial Stromal	肉瘤，子宫内膜间质
Disease::MESH:D018204	Neoplasms, Connective and Soft Tissue	肿瘤、结缔组织和软组织
Disease::MESH:D018205	Neoplasms, Adipose Tissue	肿瘤，脂肪组织
Disease::MESH:D018207	Angiomyolipoma	血管平滑肌脂肪瘤
Disease::MESH:D018208	Liposarcoma, Myxoid	脂肉瘤，粘液瘤
Disease::MESH:D018209	Myelolipoma	骨髓脂肪瘤
Disease::MESH:D018212	Giant Cell Tumor of Bone	骨巨细胞瘤
Disease::MESH:D018213	Neoplasms, Bone Tissue	肿瘤，骨组织
Disease::MESH:D018215	Osteoblastoma	骨母细胞瘤
Disease::MESH:D018219	Histiocytoma, Benign Fibrous	组织细胞瘤，良性纤维瘤
Disease::MESH:D018220	Fibroma, Desmoplastic	纤维瘤，软骨细胞
Disease::MESH:D018222	Fibromatosis, Aggressive	纤维瘤病，侵袭性
Disease::MESH:D018223	Dermatofibrosarcoma	皮肤纤维肉瘤
Disease::MESH:D018226	Fibroadenoma	纤维腺瘤
Disease::MESH:D018227	Sarcoma, Clear Cell	肉瘤，透明细胞
Disease::MESH:D018229	Angiomyoma	血管肌瘤
Disease::MESH:D018231	Leiomyomatosis	平滑肌瘤病
Disease::MESH:D018232	Rhabdomyosarcoma, Alveolar	横纹肌肉瘤，肺泡
Disease::MESH:D018233	Rhabdomyosarcoma, Embryonal	横纹肌肉瘤，胚胎
Disease::MESH:D018234	Sarcoma, Alveolar Soft Part	肉瘤，肺泡软部
Disease::MESH:D018235	Smooth Muscle Tumor	平滑肌肿瘤
Disease::MESH:D018237	Germinoma	生殖细胞瘤
Disease::MESH:D018239	Seminoma	塞米诺玛
Disease::MESH:D018240	Endodermal Sinus Tumor	内胚层窦瘤
Disease::MESH:D018241	Neuroectodermal Tumors, Primitive, Peripheral	神经外胚层肿瘤，原始，外周
Disease::MESH:D018242	Neuroectodermal Tumors, Primitive	神经外胚层肿瘤，原始
Disease::MESH:D018243	Teratocarcinoma	畸胎瘤
Disease::MESH:D018245	Trophoblastic Tumor, Placental Site	滋养细胞肿瘤，胎盘部位
Disease::MESH:D018246	Adrenocortical Adenoma	肾上腺皮质腺瘤
Disease::MESH:D018248	Adenoma, Liver Cell	腺瘤，肝细胞
Disease::MESH:D018249	Adenoma, Oxyphilic	腺瘤，嗜氧性
Disease::MESH:D018251	Hidrocystoma	水囊瘤
Disease::MESH:D018252	Syringoma	雪兰莪
Disease::MESH:D018253	Adenoma, Villous	腺瘤，绒毛
Disease::MESH:D018256	Adenomatous Polyps	腺瘤性息肉
Disease::MESH:D018262	Adenocarcinoma, Clear Cell	腺癌，透明细胞
Disease::MESH:D018266	Adenocarcinoma, Sebaceous	腺癌，皮脂质
Disease::MESH:D018267	Carcinoma, Acinar Cell	癌, 腺泡细胞
Disease::MESH:D018268	Adrenocortical Carcinoma	肾上腺皮质癌
Disease::MESH:D018269	Carcinoma, Endometrioid	癌, 子宫内膜样
Disease::MESH:D018270	Carcinoma, Ductal, Breast	乳腺导管癌
Disease::MESH:D018273	Carcinoma, Islet Cell	癌, 胰岛细胞
Disease::MESH:D018275	Carcinoma, Lobular	癌, 小叶状
Disease::MESH:D018277	Carcinoma, Mucoepidermoid	癌，粘液表皮样
Disease::MESH:D018278	Carcinoma, Neuroendocrine	癌, 神经内分泌
Disease::MESH:D018279	Carcinoma, Signet Ring Cell	癌，Signet环细胞
Disease::MESH:D018281	Cholangiocarcinoma	胆管癌
Disease::MESH:D018282	Cystadenocarcinoma, Mucinous	囊腺癌，粘液性
Disease::MESH:D018284	Cystadenocarcinoma, Serous	囊腺癌，浆液性
Disease::MESH:D018286	Carcinoma, Giant Cell	癌，巨细胞
Disease::MESH:D018287	Carcinoma, Large Cell	癌，大细胞
Disease::MESH:D018288	Carcinoma, Small Cell	癌，小细胞
Disease::MESH:D018290	Cervical Intraepithelial Neoplasia	宫颈上皮内肿瘤
Disease::MESH:D018292	Cystadenoma, Papillary	囊腺瘤，乳头状
Disease::MESH:D018295	Neoplasms, Basal Cell	肿瘤，基底细胞
Disease::MESH:D018296	Pilomatrixoma	Pilomatrixoma瘤
Disease::MESH:D018297	Neoplasms, Cystic, Mucinous, and Serous	肿瘤，囊性、粘液性和浆液性
Disease::MESH:D018302	Neoplasms, Neuroepithelial	肿瘤，神经上皮
Disease::MESH:D018303	Ganglioglioma	神经节胶质瘤
Disease::MESH:D018304	Esthesioneuroblastoma, Olfactory	嗅神经母细胞瘤
Disease::MESH:D018306	Neurocytoma	神经细胞瘤
Disease::MESH:D018307	Neoplasms, Squamous Cell	肿瘤，鳞状细胞
Disease::MESH:D018308	Papilloma, Inverted	乳头状瘤，倒置
Disease::MESH:D018310	Sertoli-Leydig Cell Tumor	Sertoli Leydig细胞瘤
Disease::MESH:D018311	Luteoma	卢特奥玛（Luteoma）
Disease::MESH:D018312	Sex Cord-Gonadal Stromal Tumors	性脊髓性腺间质瘤
Disease::MESH:D018316	Gliosarcoma	胶质肉瘤
Disease::MESH:D018317	Nerve Sheath Neoplasms	神经鞘肿瘤
Disease::MESH:D018318	Neurofibroma, Plexiform	神经纤维瘤，丛状
Disease::MESH:D018319	Neurofibrosarcoma	神经纤维肉瘤
Disease::MESH:D018321	Neurothekeoma	神经胶质瘤
Disease::MESH:D018322	Angiofibroma	血管纤维瘤
Disease::MESH:D018323	Hemangioendothelioma, Epithelioid	血管内皮瘤，上皮样
Disease::MESH:D018324	Hemangioma, Capillary	血管瘤，毛细血管
Disease::MESH:D018325	Hemangioblastoma	血管母细胞瘤
Disease::MESH:D018327	Hutchinson's Melanotic Freckle	哈钦森黑色素雀斑
Disease::MESH:D018328	Melanoma, Amelanotic	黑色素瘤，无色素瘤
Disease::MESH:D018329	Nevus, Blue	Nevus，蓝色
Disease::MESH:D018330	Nevus, Intradermal	痣，真皮内
Disease::MESH:D018332	Nevus, Epithelioid and Spindle Cell	痣、上皮样细胞和梭形细胞
Disease::MESH:D018335	Rhabdoid Tumor	横纹样瘤
Disease::MESH:D018344	T-Lymphocytopenia, Idiopathic CD4-Positive	T淋巴细胞减少，特发性CD4阳性
Disease::MESH:D018352	Coronavirus Infections	冠状病毒感染
Disease::MESH:D018357	Respiratory Syncytial Virus Infections	呼吸道合胞体病毒感染
Disease::MESH:D018358	Neuroendocrine Tumors	神经内分泌肿瘤
Disease::MESH:D018365	Neoplasm, Residual	肿瘤，残余
Disease::MESH:D018366	Vasculitis, Leukocytoclastic, Cutaneous	血管炎，白细胞增生性，皮肤性
Disease::MESH:D018370	Leukocyte-Adhesion Deficiency Syndrome	白细胞粘附缺乏综合征
Disease::MESH:D018376	Cardiovascular Abnormalities	心血管异常
Disease::MESH:D018382	Thyroid Hormone Resistance Syndrome	甲状腺激素抵抗综合征
Disease::MESH:D018410	Pneumonia, Bacterial	肺炎，细菌性
Disease::MESH:D018420	Ape Diseases	猿类疾病
Disease::MESH:D018424	Cholesteatoma, Middle Ear	胆脂瘤，中耳
Disease::MESH:D018442	Lymphoma, B-Cell, Marginal Zone	淋巴瘤，B细胞，边缘区
Disease::MESH:D018450	Disease Progression	疾病进展
Disease::MESH:D018455	Protein S Deficiency	蛋白质S缺乏
Disease::MESH:D018457	Placenta, Retained	胎盘，保留
Disease::MESH:D018458	Persistent Vegetative State	持续性植物状态
Disease::MESH:D018459	Lichen Sclerosus et Atrophicus	硬化性萎缩性地衣
Disease::MESH:D018461	Soft Tissue Infections	软组织感染
Disease::MESH:D018467	Positive-Pressure Respiration, Intrinsic	正压呼吸，固有
Disease::MESH:D018476	Hypokinesia	运动机能减退
Disease::MESH:D018487	Ventricular Dysfunction, Left	左心室功能障碍
Disease::MESH:D018489	Space Motion Sickness	太空运动病
Disease::MESH:D018496	Hyperoxia	高氧血症
Disease::MESH:D018497	Ventricular Dysfunction, Right	右心室功能障碍
Disease::MESH:D018500	Diabetes Insipidus, Nephrogenic	血脂型糖尿病，肾源性
Disease::MESH:D018512	Parasitemia	寄生虫病
Disease::MESH:D018549	Cryptogenic Organizing Pneumonia	隐源性组织性肺炎
Disease::MESH:D018562	Disease Transmission, Infectious	疾病传播，传染性
Disease::MESH:D018567	Breast Neoplasms, Male	乳腺肿瘤，男性
Disease::MESH:D018589	Gastroparesis	胃轻瘫
Disease::MESH:D018614	Sweating Sickness	流汗病
Disease::MESH:D018630	Vitreoretinopathy, Proliferative	玻璃体视网膜病变，增殖性
Disease::MESH:D018633	Pulmonary Atresia	肺闭锁
Disease::MESH:D018636	Hypoplastic Left Heart Syndrome	左心发育不良综合征
Disease::MESH:D018658	Ventricular Septal Rupture	室间隔破裂
Disease::MESH:D018710	Pain Clinics	疼痛诊所
Disease::MESH:D018746	Systemic Inflammatory Response Syndrome	全身炎症反应综合征
Disease::MESH:D018754	Ventricular Dysfunction	心室功能障碍
Disease::MESH:D018761	Multiple Endocrine Neoplasia Type 1	多发性内分泌腺瘤病1型
Disease::MESH:D018771	Arthralgia	关节痛
Disease::MESH:D018781	Tension-Type Headache	紧张型头痛
Disease::MESH:D018783	Impotence, Vasculogenic	阳痿，血管性
Disease::MESH:D018784	Abdominal Abscess	腹部脓肿
Disease::MESH:D018792	Encephalitis, Viral	脑炎，病毒性
Disease::MESH:D018798	Anemia, Iron-Deficiency	贫血，缺铁
Disease::MESH:D018804	Hantavirus Pulmonary Syndrome	汉坦病毒肺综合征
Disease::MESH:D018805	Sepsis	败血症
Disease::MESH:D018856	Cystitis, Interstitial	膀胱炎，间质性
Disease::MESH:D018876	Environmental Illness	环境疾病
Disease::MESH:D018877	Sick Building Syndrome	病态建筑综合症
